,code
897,600262
898,600261
899,600260
900,600259
901,600258
902,600257
903,600256
904,600255
905,600252
906,600251
907,600250
908,600249
909,600248
910,600246
911,600243
912,600242
913,600241
914,600240
915,600239
916,600238
917,600237
918,600236
919,600235
920,600233
921,600232
922,600231
923,600229
924,600228
925,600227
926,600226
927,600225
928,600223
929,600222
930,600221
931,600220
932,600219
933,600218
934,600217
935,600216
936,600215
937,600213
938,600211
939,600210
940,600209
941,600208
942,600207
943,600206
944,600203
945,600202
946,600201
947,600200
948,600199
949,600198
950,600197
951,600196
952,600195
953,600193
954,600192
955,600191
956,600190
957,600189
958,600188
959,600187
960,600186
961,600185
962,600184
963,600183
964,600182
965,600180
966,600179
967,600178
968,600177
969,600176
970,600175
971,600173
972,600172
973,600171
974,600170
975,600169
976,600168
977,600167
978,600166
979,600165
980,600163
981,600162
982,600161
983,600160
984,600159
985,600158
986,600157
987,600156
988,600155
989,600153
990,600152
991,600151
992,600150
993,600149
994,600148
995,600146
996,600143
997,600141
998,600139
999,600138
1000,600137
1001,600136
1002,600135
1003,600133
1004,600132
1005,600131
1006,600130
1007,600129
1008,600128
1009,600127
1010,600126
1011,600125
1012,600123
1013,600122
1014,600121
1015,600120
1016,600119
1017,600118
1018,600117
1019,600116
1020,600115
1021,600114
1022,600113
1023,600112
1024,600111
1025,600110
1026,600109
1027,600108
1028,600107
1029,600106
1030,600105
1031,600104
1032,600103
1033,600101
1034,600100
1035,600099
1036,600098
1037,600097
1038,600096
1039,600095
1040,600094
1041,600093
1042,600090
1043,600089
1044,600088
1045,600086
1046,600085
1047,600084
1048,600083
1049,600082
1050,600081
1051,600080
1052,600079
1053,600078
1054,600077
1055,600076
1056,600075
1057,600074
1058,600073
1059,600072
1060,600071
1061,600070
1062,600069
1063,600068
1064,600067
1065,600066
1066,600064
1067,600063
1068,600062
1069,600061
1070,600060
1071,600059
1072,600058
1073,600057
1074,600056
1075,600055
1076,600054
1077,600053
1078,600052
1079,600051
1080,600050
1081,600048
1082,600039
1083,600038
1084,600037
1085,600036
1086,600035
1087,600033
1088,600031
1089,600030
1090,600029
1091,600028
1092,600027
1093,600026
1094,600023
1095,600022
1096,600021
1097,600020
1098,600019
1099,600018
1100,600017
1101,600016
1102,600015
1103,600012
1104,600011
1105,600010
1106,600009
1107,600008
1108,600007
1109,600006
1110,600005
1111,600004
1112,600000
1113,300566
1114,300563
1115,300562
1116,300561
1117,300560
1118,300559
1119,300558
1120,300557
1121,300556
1122,300555
1123,300553
1124,300552
1125,300551
1126,300550
1127,300549
1128,300548
1129,300547
1130,300546
1131,300545
1132,300543
1133,300542
1134,300541
1135,300540
1136,300539
1137,300538
1138,300537
1139,300536
1140,300535
1141,300534
1142,300533
1143,300532
1144,300531
1145,300530
1146,300529
1147,300528
1148,300527
1149,300526
1150,300525
1151,300523
1152,300522
1153,300521
1154,300520
1155,300519
1156,300518
1157,300517
1158,300516
1159,300515
1160,300513
1161,300512
1162,300511
1163,300510
1164,300509
1165,300508
1166,300507
1167,300506
1168,300505
1169,300503
1170,300502
1171,300501
1172,300500
1173,300499
1174,300498
1175,300497
1176,300496
1177,300495
1178,300494
1179,300493
1180,300492
1181,300491
1182,300490
1183,300489
1184,300488
1185,300487
1186,300486
1187,300485
1188,300484
1189,300483
1190,300482
1191,300481
1192,300480
1193,300479
1194,300478
1195,300477
1196,300476
1197,300475
1198,300474
1199,300473
1200,300472
1201,300471
1202,300470
1203,300469
1204,300468
1205,300467
1206,300466
1207,300465
1208,300464
1209,300463
1210,300462
1211,300461
1212,300460
1213,300459
1214,300458
1215,300457
1216,300456
1217,300455
1218,300453
1219,300452
1220,300451
1221,300450
1222,300449
1223,300448
1224,300447
1225,300446
1226,300445
1227,300444
1228,300443
1229,300442
1230,300441
1231,300440
1232,300439
1233,300438
1234,300437
1235,300436
1236,300435
1237,300434
1238,300433
1239,300432
1240,300431
1241,300430
1242,300429
1243,300428
1244,300427
1245,300426
1246,300425
1247,300424
1248,300423
1249,300422
1250,300421
1251,300420
1252,300419
1253,300418
1254,300417
1255,300416
1256,300415
1257,300414
1258,300413
1259,300412
1260,300411
1261,300410
1262,300409
1263,300408
1264,300407
1265,300406
1266,300405
1267,300404
1268,300403
1269,300402
1270,300401
1271,300400
1272,300399
1273,300398
1274,300397
1275,300396
1276,300395
1277,300394
1278,300393
1279,300392
1280,300391
1281,300390
1282,300389
1283,300388
1284,300387
1285,300386
1286,300385
1287,300384
1288,300383
1289,300382
1290,300381
1291,300380
1292,300379
1293,300378
1294,300377
1295,300376
1296,300375
1297,300374
1298,300373
1299,300372
1300,300371
1301,300370
1302,300369
1303,300368
1304,300367
1305,300366
1306,300365
1307,300364
1308,300363
1309,300362
1310,300360
1311,300359
1312,300358
1313,300357
1314,300356
1315,300355
1316,300354
1317,300353
1318,300352
1319,300351
1320,300350
1321,300349
1322,300348
1323,300347
1324,300346
1325,300345
1326,300344
1327,300343
1328,300342
1329,300341
1330,300340
1331,300339
1332,300338
1333,300337
1334,300336
1335,300335
1336,300334
1337,300333
1338,300332
1339,300331
1340,300330
1341,300329
1342,300328
1343,300327
1344,300326
1345,300325
1346,300324
1347,300323
1348,300322
1349,300321
1350,300320
1351,300319
1352,300318
1353,300317
1354,300316
1355,300315
1356,300314
1357,300313
1358,300312
1359,300311
1360,300310
1361,300309
1362,300308
1363,300307
1364,300306
1365,300305
1366,300304
1367,300303
1368,300302
1369,300301
1370,300300
1371,300299
1372,300298
1373,300297
1374,300296
1375,300295
1376,300294
1377,300293
1378,300292
1379,300291
1380,300290
1381,300289
1382,300288
1383,300287
1384,300286
1385,300285
1386,300284
1387,300283
1388,300282
